session ;user;query position;cell hashcode;novelty;outlierness;relevance;surprise;query label;session label
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;1432955538;true;0.2982447717109067;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;1081248747;true;0.13547977538786826;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;374618830;true;0.13444501575923673;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;996035468;true;0.29659388914689744;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;-1973183755;true;0.12061126070459416;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;-2116491292;true;0.08362079955457502;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;2110348161;true;0.4853147938879465;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;156676413;true;0.3421528588078273;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;-2043529041;true;0.13101950521479155;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;220756850;true;0.29369439839142375;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;6;-1973183755;true;0.12061126070459416;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;6;-2116491292;true;0.08362079955457502;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;6;2110348161;true;0.4853147938879465;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;6;156676413;true;0.3421528588078273;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;6;-2043529041;true;0.13101950521479155;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;6;220756850;true;0.29369439839142375;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;7;1701217101;true;0.2947508781011592;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;7;630795816;true;0.21722304327259978;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;7;-2131846561;true;0.035490742287579646;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;7;-2131827676;true;0.299078412586816;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;7;-2131835139;true;0.30593224454358103;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;7;-484791051;true;0.2911476204856007;1.0;Infinity;0;B;
dibstudent03--2016-09-25--17-37.log;dibstudent03;1;-1050909961;true;0.41720118635513503;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;1;-1512832480;true;0.29500057843984506;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;1;596126664;true;0.4283303742348382;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;1;-1050917424;true;0.2850379421808138;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;1;-1050928846;true;0.02733027546268174;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;1;1711713531;true;0.21582877967133118;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;2;-1050909961;false;0.41720118635513503;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;2;-1512832480;false;0.29500057843984506;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;2;596126664;false;0.4283303742348382;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;2;-1050917424;false;0.2850379421808138;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;2;-1050928846;false;0.02733027546268174;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;2;1711713531;false;0.21582877967133118;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;3;1301674565;true;0.4804028635857647;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;3;1237594128;true;0.2605011465012319;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;3;-1103701420;true;0.2378832752466169;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;3;-892266040;true;0.12963855072177055;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;3;-962611326;true;0.3227674836001082;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;3;-1035573577;true;0.053670596739093024;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;4;1301674565;false;0.4804028635857647;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;4;1237594128;false;0.2605011465012319;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;4;-1103701420;false;0.2378832752466169;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;4;-892266040;false;0.12963855072177055;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;4;-962611326;false;0.3227674836001082;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;4;-1035573577;false;0.053670596739093024;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;5;-1050909961;false;0.41720118635513503;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;5;-1512832480;false;0.29500057843984506;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;5;596126664;false;0.4283303742348382;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;5;-1050917424;false;0.2850379421808138;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;5;-1050928846;false;0.02733027546268174;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;5;1711713531;false;0.21582877967133118;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;6;-1269989571;true;0.4367852247422749;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;6;760691834;true;0.29232356364235423;0.0;Infinity;0;C;
